State Abbreviation,State,District Number,Voting-Age Population,Men,Women,Above Poverty Level,Below Poverty Level,Congressional District
LA,Louisiana,5,555804,274214,281590,513602,103696,Louisiana-5
LA,Louisiana,6,585015,276949,308066,575426,60246,Louisiana-6
ME,Maine,1,546625,262366,284259,533126,46725,Maine-1
ME,Maine,2,524036,256001,268035,509879,67713,Maine-2
MD,Maryland,1,567926,274632,293294,552884,42578,Maryland-1
MD,Maryland,2,560167,260668,299499,543593,51775,Maryland-2
MD,Maryland,3,545892,264371,281521,528919,36310,Maryland-3
MD,Maryland,4,503398,233987,269411,499442,29106,Maryland-4
MD,Maryland,5,556897,266835,290062,538164,32040,Maryland-5
MD,Maryland,6,523698,256158,267540,503145,41902,Maryland-6
MD,Maryland,7,528398,244249,284149,509441,70189,Maryland-7
MD,Maryland,8,533774,255084,278690,525419,27438,Maryland-8
MA,Massachusetts,1,568024,266490,301534,546653,65836,Massachusetts-1
MA,Massachusetts,2,558962,269755,289207,522617,45937,Massachusetts-2
MA,Massachusetts,3,543580,267058,276522,529486,45122,Massachusetts-3
MA,Massachusetts,4,559943,264258,295685,538159,33098,Massachusetts-4
MA,Massachusetts,5,535109,254313,280796,513186,30239,Massachusetts-5
MA,Massachusetts,6,577241,273324,303917,562214,40491,Massachusetts-6
MA,Massachusetts,7,558430,261887,296543,516378,78640,Massachusetts-7
MA,Massachusetts,8,561241,271141,290100,547326,34217,Massachusetts-8
MA,Massachusetts,9,573274,272549,300725,562197,47427,Massachusetts-9
MI,Michigan,1,564858,286708,278150,546107,65586,Michigan-1
MI,Michigan,2,551323,270056,281267,534886,55290,Michigan-2
MI,Michigan,3,551028,269805,281223,537073,55617,Michigan-3
MI,Michigan,4,554938,275776,279162,531080,71584,Michigan-4
MI,Michigan,5,520558,249502,271056,515340,80779,Michigan-5
MI,Michigan,6,541981,263696,278285,531118,64711,Michigan-6
MI,Michigan,7,548462,271940,276522,528311,48683,Michigan-7
MI,Michigan,8,554462,270121,284341,536158,50669,Michigan-8
MI,Michigan,9,552114,266809,285305,547797,58611,Michigan-9
MI,Michigan,10,553804,272084,281720,547765,49350,Michigan-10
MI,Michigan,11,534817,258134,276683,529991,31151,Michigan-11
MI,Michigan,12,526943,255173,271770,509760,71305,Michigan-12
MI,Michigan,13,474739,220128,254611,469472,115844,Michigan-13
MI,Michigan,14,512851,237874,274977,504057,86226,Michigan-14
MN,Minnesota,1,500330,247189,253141,482916,47096,Minnesota-1
MN,Minnesota,2,511914,247867,264047,503107,27606,Minnesota-2
MN,Minnesota,3,517834,251195,266639,514568,23532,Minnesota-3
MN,Minnesota,4,510862,243687,267175,496836,46437,Minnesota-4
MN,Minnesota,5,517155,256364,260791,503118,61661,Minnesota-5
MN,Minnesota,6,525551,264594,260957,515433,32509,Minnesota-6
MN,Minnesota,7,495727,245413,250314,482844,45244,Minnesota-7
MN,Minnesota,8,527541,266984,260557,512566,58844,Minnesota-8
MS,Mississippi,1,577880,274187,303693,559338,74040,Mississippi-1
MS,Mississippi,2,523479,246408,277071,496061,101273,Mississippi-2
MS,Mississippi,3,559913,263747,296166,539427,94524,Mississippi-3
MS,Mississippi,4,579386,278636,300750,560746,97084,Mississippi-4
MO,Missouri,1,549361,253168,296193,534195,86150,Missouri-1
MO,Missouri,2,575828,272618,303210,565960,24873,Missouri-2
MO,Missouri,3,602748,295360,307388,585685,43942,Missouri-3
MO,Missouri,4,584925,289078,295847,553519,79363,Missouri-4
MO,Missouri,5,573775,274276,299499,563867,62939,Missouri-5
MO,Missouri,6,583457,287409,296048,558571,50539,Missouri-6
MO,Missouri,7,595559,287998,307561,578418,81695,Missouri-7
MO,Missouri,8,567717,280877,286840,545199,87592,Missouri-8
MT,Montana,At-large,823668,413026,410642,804355,97803,Montana-At-large
NE,Nebraska,1,473676,236555,237121,457270,45705,Nebraska-1
NE,Nebraska,2,467041,226651,240390,456667,41176,Nebraska-2
NE,Nebraska,3,439543,216125,223418,424327,43757,Nebraska-3
NV,Nevada,1,418811,211011,207800,412668,75734,Nevada-1
NV,Nevada,2,531489,268234,263255,521800,45749,Nevada-2
NV,Nevada,3,607915,298190,309725,606083,42769,Nevada-3
NV,Nevada,4,516951,258915,258036,505533,55887,Nevada-4
NH,New Hampshire,1,540224,265533,274691,523141,35655,New Hampshire-1
NH,New Hampshire,2,529588,260293,269295,510009,33260,New Hampshire-2
NJ,New Jersey,1,542034,258989,283045,533571,53128,New Jersey-1
NJ,New Jersey,2,531339,257404,273935,513349,49849,New Jersey-2
NJ,New Jersey,3,570276,276793,293483,558203,30679,New Jersey-3
NJ,New Jersey,4,539643,253208,286435,533840,31194,New Jersey-4
NJ,New Jersey,5,527932,252797,275135,517601,22025,New Jersey-5
NJ,New Jersey,6,502463,247252,255211,475444,37453,New Jersey-6
NJ,New Jersey,7,527076,254674,272402,520070,20223,New Jersey-7
NJ,New Jersey,8,425604,207269,218335,420513,47592,New Jersey-8
NJ,New Jersey,9,481499,230505,250994,479380,49046,New Jersey-9
NJ,New Jersey,10,496051,234506,261545,480735,65422,New Jersey-10
NJ,New Jersey,11,548734,261914,286820,536031,21125,New Jersey-11
NJ,New Jersey,12,505683,242465,263218,489002,36428,New Jersey-12
NM,New Mexico,1,514775,249488,265287,508282,73116,New Mexico-1
NM,New Mexico,2,484702,239241,245461,467832,84825,New Mexico-2
NM,New Mexico,3,507907,246780,261127,499664,89207,New Mexico-3
NY,New York,1,530436,257571,272865,519175,31046,New York-1
NY,New York,2,515987,252580,263407,512695,31530,New York-2
NY,New York,3,521235,248504,272731,512317,25261,New York-3
NY,New York,4,506457,240633,265824,497226,23349,New York-4
NY,New York,5,501784,232458,269326,493643,47721,New York-5
NY,New York,6,448065,212441,235624,443584,41855,New York-6
NY,New York,7,446196,214479,231717,439774,79879,New York-7
NY,New York,8,540660,233029,307631,534467,96821,New York-8
NY,New York,9,486880,218455,268425,483155,61616,New York-9
NY,New York,10,473542,221514,252028,458508,57042,New York-10
NY,New York,11,500998,237048,263950,495306,54201,New York-11
NY,New York,12,530252,250793,279459,513697,48742,New York-12
NY,New York,13,505003,232128,272875,497817,109993,New York-13
NY,New York,14,392398,194391,198007,380258,44703,New York-14
NY,New York,15,410819,184098,226721,405180,121432,New York-15
NY,New York,16,498243,223699,274544,485031,51192,New York-16
NY,New York,17,502861,241981,260880,489310,36680,New York-17
NY,New York,18,524373,258678,265695,505373,38590,New York-18
NY,New York,19,553713,276166,277547,527441,58461,New York-19
NY,New York,20,557251,266403,290848,532729,50906,New York-20
NY,New York,21,551303,283623,267680,516373,54118,New York-21
NY,New York,22,539437,265317,274120,510768,64552,New York-22
NY,New York,23,544564,267455,277109,510456,70217,New York-23
NY,New York,24,539797,260293,279504,514966,58584,New York-24
NY,New York,25,543698,257318,286380,523100,68088,New York-25
NY,New York,26,539694,255091,284603,523261,72530,New York-26
NY,New York,27,564383,278943,285440,545584,42730,New York-27
NC,North Carolina,1,566173,262291,303882,536378,89085,North Carolina-1
NC,North Carolina,2,601142,291498,309644,593495,42953,North Carolina-2
NC,North Carolina,3,579504,293180,286324,545792,72185,North Carolina-3
NC,North Carolina,4,624834,294403,330431,596963,56009,North Carolina-4
