State,State Abbreviation,District Number,Congressional District,Voting-Age Population,18-29 Years Old,30-44 Years Old,45-64 Years Old,65+ Years Old,Men,Women,Above Poverty Level,Below Poverty Level,Less than 9th Grade,"9th to 12 Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate Degree,High School or More,Bachelor's Degree or More,White,Black,Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic,White Non-Hispanic
California,CA,40,CA-40,340435,117561,88081,86405,48388,165988,174447,338726,46300,43948,40368,98979,90081,22031,33112,11916,256119,45028,181946,25692,12880,3015,N,108373,7930,271720,26637
California,CA,41,CA-41,478613,154274,126217,132970,65152,237023,241590,463587,51104,29445,43330,152838,138115,34599,52557,27729,405838,80286,262972,50689,31893,N,N,112567,16584,258511,127599
California,CA,42,CA-42,538265,122803,145881,177568,92013,269677,268588,533812,38700,17647,30484,151598,155168,50397,89357,43614,490134,132971,361584,37246,49668,N,N,61925,21603,177937,255808
California,CA,43,CA-43,454185,114853,115255,142409,81668,213003,241182,448459,48133,24838,37427,101686,122622,37325,91995,38292,391920,130287,177842,119732,68865,2291,N,65073,18986,165629,87475
California,CA,44,CA-44,395819,115574,110263,108537,61445,188238,207581,391379,54905,36450,48320,118351,112113,24915,39798,15872,311049,55670,165491,85383,25054,N,N,99590,12702,236098,37927
California,CA,45,CA-45,532802,110235,119202,187676,115689,259823,272979,524647,38768,8523,17150,68372,118194,44550,172817,103196,507129,276013,366022,9614,114232,N,N,20267,20084,86584,304010
California,CA,46,CA-46,408633,130145,103298,111682,63508,201808,206825,397295,45856,35485,36525,106524,113914,28646,65341,22198,336623,87539,243975,11486,59189,N,N,81155,9290,222627,109333
California,CA,47,CA-47,491712,114807,124261,166891,85753,239510,252202,486226,50414,30115,29772,91523,140344,41173,108005,50780,431825,158785,266203,43843,110767,N,N,45797,17579,127919,192536
California,CA,48,CA-48,529832,103313,113213,190245,123061,261462,268370,528025,41904,19342,22208,86247,120132,41982,153100,86821,488282,239921,359070,9696,106927,N,N,34320,16254,83297,317093
California,CA,49,CA-49,519302,111660,112832,178059,116751,259293,260009,502167,31322,12881,20673,96500,127415,44026,133953,83854,485748,217807,421261,18361,38574,N,N,19567,17266,96576,349606
California,CA,50,CA-50,513522,113483,123333,169884,106822,254481,259041,508243,42991,16294,27775,124514,156195,47178,91516,50050,469453,141566,420132,14365,26540,6867,N,23519,19507,125071,325178
