State,State Abbreviation,District Number,Congressional District,Voting-Age Population,18-29 Years Old,30-44 Years Old,45-64 Years Old,65+ Years Old,Men,Women,Above Poverty Level,Below Poverty Level,Less than 9th Grade,"9th to 12 Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate Degree,High School or More,Bachelor's Degree or More,White,Black,Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic,White Non-Hispanic
New York,NY,22,NY-22,539437,114511,111158,184422,129346,265317,274120,510768,64552,14642,36008,179578,119746,65355,70741,53367,488787,124108,495348,21123,9748,N,N,4461,7574,15948,486757
New York,NY,23,NY-23,544564,120276,109777,185144,129367,267455,277109,510456,70217,18587,37095,179495,118875,63438,70304,56770,488882,127074,500861,15759,8850,3285,N,7985,7628,18167,492224
New York,NY,24,NY-24,539797,111698,117482,189709,120908,260293,279504,514966,58584,11763,37238,158002,114039,63677,88030,67048,490796,155078,474013,41560,9619,N,N,3618,8527,19512,462060
New York,NY,25,NY-25,543698,117622,123905,181680,120491,257318,286380,523100,68088,14162,35686,126748,108770,59614,112460,86258,493850,198718,431515,78070,12161,N,N,9689,9827,39989,406885
New York,NY,26,NY-26,539694,120559,122162,175590,121383,255091,284603,523261,72530,14560,38176,146000,114829,57892,98034,70203,486958,168237,407858,92005,12470,N,N,13261,11702,30730,395376
New York,NY,27,NY-27,564383,95372,120176,212938,135897,278943,285440,545584,42730,8541,29189,170217,112414,77305,92489,74228,526653,166717,534723,13687,4589,N,N,3707,5114,10931,528120
North Carolina,NC,1,NC-1,566173,132862,125420,183238,124653,262291,303882,536378,89085,20304,51413,164037,132054,48077,91176,59112,494456,150288,280421,254956,7907,4967,N,7051,10620,19273,270264
North Carolina,NC,2,NC-2,601142,106022,154674,224620,115826,291498,309644,593495,42953,10786,37067,145278,135285,63189,141071,68466,553289,209537,444665,119621,9392,N,N,9924,14159,30892,426822
North Carolina,NC,3,NC-3,579504,140107,124968,183311,131118,293180,286324,545792,72185,17246,43953,175802,152531,61442,85929,42601,518305,128530,434029,118178,5943,N,N,5875,13032,32821,411242
North Carolina,NC,4,NC-4,624834,160718,165799,199641,98676,294403,330431,596963,56009,7044,25433,93039,128496,43302,203436,124084,592357,327520,411527,146679,35825,N,N,10929,17827,33104,393780
North Carolina,NC,5,NC-5,572721,120924,115470,198628,137699,271575,301146,550670,76313,18306,51302,163139,143164,54965,93622,48223,503113,141845,466868,85452,4699,N,N,5021,7024,19976,452028
North Carolina,NC,6,NC-6,567392,108516,120375,203804,134697,268248,299144,555732,62094,17938,46521,162821,142372,61424,92441,43875,502933,136316,424602,119618,6507,N,N,5973,9115,20646,410991
North Carolina,NC,7,NC-7,613510,120856,130075,204550,158029,291864,321646,598995,81576,14702,49951,171600,157945,65470,104727,49115,548857,153842,469998,118488,5780,N,N,5532,9136,23421,453215
North Carolina,NC,8,NC-8,581896,134841,139696,189464,117895,280980,300916,560326,64418,15442,43292,165047,150451,61657,96263,49744,523162,146007,403599,135482,10986,6373,N,9366,15169,39927,376894
North Carolina,NC,9,NC-9,561804,104526,130550,206102,120626,267655,294149,548599,56464,16889,45406,142144,122465,45150,127162,62588,499509,189750,372678,114021,12784,46404,N,5792,10192,22046,360064
North Carolina,NC,10,NC-10,585102,107076,129277,208870,139879,277020,308082,572654,70692,17667,52820,175345,137346,62071,95374,44479,514615,139853,490630,72610,7352,N,N,4876,8227,18328,477282
North Carolina,NC,11,NC-11,604505,100736,121933,208993,172843,289081,315424,591536,74390,19136,53301,177956,141325,61958,96127,54702,532068,150829,558971,19383,5123,8500,N,4014,8761,17019,547147
North Carolina,NC,12,NC-12,591843,149353,170864,188532,83094,275402,316441,581131,54940,10567,36235,111910,146130,51052,162829,73120,545041,235949,300205,241622,18524,N,N,15765,13675,39878,281602
North Carolina,NC,13,NC-13,579274,119172,126619,204338,129145,271691,307583,560122,65082,14751,48189,158035,147984,54321,106577,49417,516334,155994,418093,128571,11668,N,N,5810,12172,20610,405021
North Dakota,ND,At-large,ND-At-large,567351,139148,139250,172914,116039,291026,276325,546513,57163,15546,25287,148841,144944,82195,115082,35456,526518,150538,507582,13529,3741,26810,N,N,9794,16825,497987
Ohio,OH,1,OH-1,541695,115385,127214,188655,110441,262456,279239,522774,61323,12480,37906,159131,112921,42517,109523,67217,491309,176740,408101,110142,9566,N,N,1488,11816,9240,401223
Ohio,OH,2,OH-2,557971,110038,135103,193722,119108,267271,290700,550012,65318,12806,38836,179331,115407,42885,107448,61258,506329,168706,491315,49326,5822,N,N,N,8794,6748,486127
Ohio,OH,3,OH-3,560963,153956,152437,173350,81220,262190,298773,543140,87584,12033,46819,162352,149107,41456,102291,46905,502111,149196,340692,176124,16451,N,N,8231,17728,20280,330269
Ohio,OH,4,OH-4,542874,107261,120580,192235,122798,269636,273238,517764,53877,8396,40645,227241,118829,54698,61147,31918,493833,93065,497072,29506,3577,N,N,N,7578,17159,484081
Ohio,OH,5,OH-5,549171,108332,120658,190308,129873,265489,283682,533728,49753,8179,33024,194792,126171,49952,85505,51548,507968,137053,510516,16042,4916,N,N,7476,9328,22718,497742
Ohio,OH,6,OH-6,545803,92786,115894,198331,138792,271382,274421,526363,78256,15035,45891,243105,104787,50815,55394,30776,484877,86170,522541,11949,N,N,N,N,6885,4139,519628
Ohio,OH,7,OH-7,557024,102049,127143,193475,134357,267916,289108,544781,55197,25543,40928,216413,118866,45198,70596,39480,490553,110076,524020,19576,2541,N,N,N,8307,7516,517963
Ohio,OH,8,OH-8,546406,112205,122391,189359,122451,263947,282459,532437,53264,11657,39929,194706,129108,46735,83985,40286,494820,124271,495127,31555,7559,N,N,2046,9717,9288,488253
Ohio,OH,9,OH-9,545749,124360,125503,185628,110258,263532,282217,534835,89928,15058,48500,179845,139469,46334,76917,39626,482191,116543,429379,80260,6204,N,N,11416,15979,52906,396171
Ohio,OH,10,OH-10,552514,119030,123728,182094,127662,263435,289079,526770,71539,9937,38545,153389,146059,49346,89308,65930,504032,155238,439582,87640,8761,N,N,N,13259,10696,431513
Ohio,OH,11,OH-11,524803,115904,112868,177785,118246,238090,286713,507302,107065,15282,54749,151651,124933,39417,82102,56669,454772,138771,226407,269913,8086,N,N,5232,13329,17237,216076
Ohio,OH,12,OH-12,585940,116111,143636,203572,122621,290618,295322,569339,49050,9882,28982,161706,121457,39600,145735,78578,547076,224313,528755,28752,13546,N,N,N,11981,11415,520414
Ohio,OH,13,OH-13,559931,121208,118910,188243,131570,268927,291004,541535,80108,12042,42021,202284,143217,39416,78664,42287,505868,120951,477923,60746,6651,N,N,N,10148,N,465719
Ohio,OH,14,OH-14,553668,91212,116235,202802,143419,266077,287591,544116,36742,16280,28544,163375,109869,43396,121554,70650,508844,192204,510204,26638,8399,N,N,1973,6981,11531,500765
Ohio,OH,15,OH-15,586092,122586,148238,195592,119676,292487,293605,556465,61556,10635,40687,190377,126001,42927,110222,65243,534770,175465,534595,27259,10215,N,N,N,11631,8845,528345
Ohio,OH,16,OH-16,553316,94003,119356,195092,144865,269087,284229,543064,33622,10777,22848,164323,123950,48612,117209,65597,519691,182806,518260,17301,8248,N,N,1542,7381,9945,510246
Oklahoma,OK,1,OK-1,565812,119601,142459,185630,118122,270452,295360,558168,62121,10635,40682,156559,147183,49828,110571,50354,514495,160925,430528,47764,10687,35350,N,6006,35447,34808,403810
Oklahoma,OK,2,OK-2,564213,111772,124240,187143,141058,275370,288843,543589,91676,19429,63222,218810,128176,44414,61249,28913,481562,90162,395157,19853,2554,94348,537,4477,47835,17417,386314
Oklahoma,OK,3,OK-3,571661,128376,136979,181404,124902,285869,285792,545818,71757,13873,47362,199176,150474,42061,83205,35510,510426,118715,470884,24256,5948,32025,N,11938,27206,36389,450725
Oklahoma,OK,4,OK-4,589702,140663,148141,183691,117207,291854,297848,563986,66997,13067,41027,190794,167764,43067,84048,49935,535608,133983,462131,38683,10100,30259,N,11086,36816,39832,437276
Oklahoma,OK,5,OK-5,561277,127461,145137,177443,111236,266722,294555,547860,72937,13775,44123,148804,145781,40854,107536,60404,503379,167940,404896,74608,14329,27296,N,11351,28839,47050,371767
Oregon,OR,1,OR-1,606198,122267,156907,203271,123753,294448,311750,596872,48348,9339,26679,128013,146233,53496,156276,86162,570180,242438,513567,10563,37244,N,N,13522,23694,53395,479351
Oregon,OR,2,OR-2,619186,107760,137721,203375,170330,305421,313765,605564,73367,13268,47630,161388,179946,61291,99261,56402,558288,155663,570566,N,6561,11251,N,7035,18083,47200,535491
Oregon,OR,3,OR-3,627716,128785,192698,195594,110639,309299,318417,616973,65208,12960,28825,121458,158417,52252,157586,96218,585931,253804,517373,28243,42605,N,N,5724,25522,42055,486378
Oregon,OR,4,OR-4,638548,137856,131793,197411,171488,313807,324741,626815,96381,11701,45999,164956,201222,58029,100115,56526,580848,156641,577889,N,10379,8751,N,12109,25058,34726,558470
Oregon,OR,5,OR-5,606523,121244,135652,202365,147262,295492,311031,595610,60545,10875,36398,152097,167719,56373,119939,63122,559250,183061,534933,N,12700,N,N,22572,22413,59285,503966
Pennsylvania,PA,1,PA-1,544860,92077,114576,208051,130156,264421,280439,537518,27607,8473,22937,156819,97767,42868,134297,81699,513450,215996,485517,18522,28270,N,N,4568,7510,21258,470789
Pennsylvania,PA,2,PA-2,496510,108907,131431,162980,93192,234087,262423,487446,105114,26299,56776,198771,85428,29704,68370,31162,413435,99532,255993,131605,30679,N,N,63238,12957,107789,221042
Pennsylvania,PA,3,PA-3,564612,163596,147436,155674,97906,253086,311526,538968,113844,11692,42143,157520,116200,27138,117374,92545,510777,209919,208667,307689,24890,N,N,5295,16948,23412,196371
Pennsylvania,PA,4,PA-4,543723,93110,126725,196830,127058,260436,283287,528636,28462,8807,22739,142022,88390,39064,144278,98423,512177,242701,454586,52262,22373,N,N,4705,9628,18783,441795
Pennsylvania,PA,5,PA-5,519983,107792,123762,176758,111671,243516,276467,498676,45199,10562,31422,160532,99737,37695,106551,73484,477999,180035,363487,118476,24754,N,N,N,9032,17273,352547
Pennsylvania,PA,6,PA-6,522912,104793,115963,186198,115958,252469,270443,507935,39976,12563,27757,130458,92678,35515,138750,85191,482592,223941,449691,32287,14144,N,N,16911,9541,53752,417509
Pennsylvania,PA,7,PA-7,552078,112979,120075,190234,128790,267694,284384,533234,53161,15318,35659,189151,111581,48351,94809,57209,501101,152018,469476,34943,13253,N,N,20031,12391,80928,419773
Pennsylvania,PA,8,PA-8,535133,96758,111460,191872,135043,261619,273514,516034,59557,11439,37736,200538,109953,48725,81079,45663,485958,126742,480360,27511,7691,N,N,9335,9552,44055,450419
Pennsylvania,PA,9,PA-9,555775,101991,113868,200346,139570,277295,278480,528749,49237,16996,42409,240099,97346,47334,73298,38293,496370,111591,518358,15716,5016,N,N,10844,5481,28993,503528
Pennsylvania,PA,10,PA-10,552761,104026,132749,190256,125730,266462,286299,531726,46291,15277,34073,189962,99038,48044,108486,57881,503411,166367,460919,56947,13759,N,N,7704,12505,33868,441207
Pennsylvania,PA,11,PA-11,553568,108179,121027,190275,134087,269825,283743,543005,37367,35053,42629,202751,91320,41919,92575,47321,475886,139896,504688,17933,8037,N,N,12607,8659,37151,484533
Pennsylvania,PA,12,PA-12,551022,123316,110831,183226,133649,273160,277862,516051,66048,15618,38952,234876,103919,46333,71193,40131,496452,111324,526661,11901,4991,N,N,N,3925,10742,519347
Pennsylvania,PA,13,PA-13,545111,95067,111055,195512,143477,268312,276799,523708,52637,13896,40577,241288,99961,48425,62268,38696,490638,100964,516724,16075,2209,N,N,1840,8046,8760,511304
Pennsylvania,PA,14,PA-14,551164,92479,113121,199732,145832,268241,282923,534212,50791,8357,28415,219548,100379,53868,91121,49476,514392,140597,523728,16477,3505,N,N,N,6469,6330,518637
Pennsylvania,PA,15,PA-15,548615,103760,109888,194162,140805,278000,270615,519562,57901,13986,34673,246984,91462,51525,72269,37716,499956,109985,526103,N,2867,N,N,N,6280,6687,522481
Pennsylvania,PA,16,PA-16,539710,105421,112260,188904,133125,262719,276991,513587,64498,12118,31769,211587,99574,51589,86897,46176,495823,133073,501628,22529,3902,N,N,N,7184,10508,495236
Pennsylvania,PA,17,PA-17,559285,89713,129224,201518,138830,270617,288668,552462,41481,5903,20706,159016,99939,56259,136767,80695,532676,217462,508180,31973,9500,N,N,1400,8279,7321,503418
Pennsylvania,PA,18,PA-18,544390,124197,125413,167548,127232,254384,290006,522202,71545,6755,25046,156418,107772,51636,117979,78784,512589,196763,427121,90399,12581,N,N,N,11048,9730,420235
Rhode Island,RI,1,RI-1,395409,86516,88010,131729,89154,188916,206493,376196,49877,14274,29304,114324,82383,29031,75455,50638,351831,126093,323031,27650,9436,N,N,22408,11418,52719,293545
Rhode Island,RI,2,RI-2,407668,90505,86605,142807,87751,195852,211816,391434,33551,10748,20558,118228,87561,37944,80864,51765,376362,132629,361968,16926,10467,N,N,8404,7916,38441,334255
South Carolina,SC,1,SC-1,613912,117100,152845,199262,144705,295032,318880,605071,53615,8402,33694,147261,132570,56738,149559,85688,571816,235247,466500,115167,9064,N,N,10198,10966,24809,452570
South Carolina,SC,2,SC-2,537342,112273,126169,183210,115690,255658,281684,520411,57271,12192,31646,155524,129295,48002,101285,59398,493504,160683,385598,130527,7361,N,N,4495,8285,20880,370699
South Carolina,SC,3,SC-3,534772,110832,113351,180995,129594,258621,276151,517074,70663,23598,55661,167914,120514,55599,70623,40863,455513,111486,422270,99145,3035,N,N,3722,5957,14388,412561
South Carolina,SC,4,SC-4,533533,114689,122139,181414,115291,251842,281691,518231,50729,14123,40243,144256,119282,51575,109232,54822,479167,164054,405172,102042,10346,N,N,4795,10285,18153,393623
South Carolina,SC,5,SC-5,552247,107394,130685,191844,122324,262084,290163,541112,65432,16054,52868,175909,129527,54597,83245,40047,483325,123292,385649,146617,5308,N,N,3662,8765,14601,375463
South Carolina,SC,6,SC-6,506843,135079,116303,151193,104268,241997,264846,469768,95495,15227,53208,175995,126565,45647,60929,29272,438408,90201,210650,276661,3846,N,N,3026,10764,10092,205293
South Carolina,SC,7,SC-7,571428,100281,116934,194600,159613,265082,306346,558493,89683,18426,54134,200743,125367,58464,74215,40079,498868,114294,403217,151170,4767,N,N,3234,4248,12571,394892
South Dakota,SD,At-large,SD-At-large,647089,135924,154204,211141,145820,323519,323570,623323,73236,14171,37075,198743,144419,76351,125006,51324,595843,176330,573199,7602,4301,47766,N,2976,11750,16770,562090
Tennessee,TN,1,TN-1,563918,101879,115573,199303,147163,271986,291932,549414,75115,25317,48099,212285,130545,39878,68396,39398,490502,107794,540760,12046,N,N,N,1756,7097,8717,534862
Tennessee,TN,2,TN-2,583056,126317,126787,195284,134668,278806,304250,568291,67235,17390,39983,170864,138825,50247,103401,62346,525683,165747,530524,34866,6892,N,N,2060,7260,12772,520933
Tennessee,TN,3,TN-3,571456,107332,127851,199140,137133,274322,297134,554284,73597,20499,48723,182887,143515,48676,80485,46671,502234,127156,494474,58905,5320,N,N,1619,9009,11835,485077
Tennessee,TN,4,TN-4,590540,131798,139598,202170,116974,284223,306317,576455,71929,21878,49220,207359,142942,47520,85399,36222,519442,121621,509128,58521,6539,N,N,4177,9871,19562,494574
Tennessee,TN,5,TN-5,563797,138645,154933,174676,95543,267201,296596,545555,62163,13155,36975,136097,126184,35464,135779,80143,513667,215922,396515,135489,12568,N,N,7589,10001,20724,382584
Tennessee,TN,6,TN-6,591603,110663,133871,208991,138078,286118,305485,580485,63405,26937,43027,219478,132632,40519,85377,43633,521639,129010,546480,27006,3122,N,N,4599,8624,11050,541137
Tennessee,TN,7,TN-7,578288,115496,148381,198625,115786,283131,295157,561453,61291,17582,43859,180146,121862,45543,113096,56200,516847,169296,494255,58811,7939,N,N,N,9621,20849,479302
Tennessee,TN,8,TN-8,525277,95988,118670,187803,122816,252231,273046,508600,59907,18116,42833,169280,122651,36762,83897,51738,464328,135635,411730,99356,6453,N,N,838,5701,9750,403854
Tennessee,TN,9,TN-9,507231,128416,126301,164660,87854,229788,277443,494516,104034,14189,50233,166751,130021,29313,75706,41018,442809,116724,143828,347105,6463,N,N,2680,N,9765,137622
Texas,TX,1,TX-1,511974,116139,115651,162219,117965,243891,268083,489794,66257,18830,46087,156657,145772,43087,67560,33981,447057,101541,398418,95185,5247,N,N,4255,5901,50490,354220
Texas,TX,2,TX-2,520180,110982,153422,165265,90511,252870,267310,513178,45949,11793,24897,110070,119188,39555,139402,75275,483490,214677,374579,67918,36469,N,N,28948,10300,116957,291204
Texas,TX,3,TX-3,563318,107159,151459,211761,92939,267900,295418,559484,31157,8645,14975,94468,128087,40702,179942,96499,539698,276441,417000,62190,59788,N,N,8533,12224,57426,371559
Texas,TX,4,TX-4,543354,101034,130722,185907,125691,264225,279129,527224,60598,12838,38195,185066,142801,44708,81208,38538,492321,119746,450691,62889,4482,N,N,13055,8982,48269,417038
Texas,TX,5,TX-5,480610,99057,124188,157352,100013,237717,242893,457691,49171,16829,46937,155923,130104,31560,65144,34113,416844,99257,370826,79554,5214,N,N,13173,8061,79549,307171
Texas,TX,6,TX-6,554709,125279,151253,187069,91108,265398,289311,548599,40104,13154,31777,147335,158199,48151,105062,51031,509778,156093,373722,119118,22896,N,N,17934,16609,95719,303004
Texas,TX,7,TX-7,448262,94925,122431,152485,78421,209156,239106,447412,32347,10368,19913,66639,99713,30932,138442,82255,417981,220697,298130,71129,40651,N,N,24145,12320,93548,233445
Texas,TX,8,TX-8,584039,114865,153896,199843,115435,292242,291797,554256,51546,17410,37689,155417,152589,44233,123230,53471,528940,176701,500072,51935,10603,N,N,8025,11311,87095,424082
Texas,TX,9,TX-9,445634,125106,112131,138785,69612,211591,234043,443690,60975,25222,39474,128128,119357,28687,68378,36388,380938,104766,141641,208780,49557,N,N,38209,6091,120680,62693
Texas,TX,10,TX-10,593629,124192,163629,195137,110671,288737,304892,583103,45323,16790,29862,127610,140595,40149,157916,80707,546977,238623,452663,68022,30569,N,N,24999,13675,115843,367912
Texas,TX,11,TX-11,542570,125640,132612,164392,119926,270606,271964,524915,56229,24329,53711,166071,146282,40536,80036,31605,464530,111641,478019,24543,5006,N,N,22550,9672,170218,339067
Texas,TX,12,TX-12,572411,126234,147586,195434,103157,275420,296991,560045,51359,15056,36154,163838,133565,47514,119430,56854,521201,176284,472228,52093,16010,N,N,16440,12047,98273,394380
Texas,TX,13,TX-13,493390,107099,120804,159812,105675,251525,241865,462703,54698,19071,42072,159735,134726,38262,69190,30334,432247,99524,431065,27053,7620,N,N,13323,10264,98343,351529
Texas,TX,14,TX-14,532153,110575,137967,180436,103175,266577,265576,501418,55633,16459,45405,155103,142733,46284,89302,36867,470289,126169,384154,112210,13195,N,N,11359,10314,97361,302300
Texas,TX,15,TX-15,435170,127796,109100,126966,71308,216790,218380,423944,69316,32919,50370,121086,112675,26700,64097,27323,351881,91420,379943,12712,6649,N,N,29321,6426,318150,95665
Texas,TX,16,TX-16,458940,133726,123299,124935,76980,227861,231079,446926,66463,32928,28235,109917,137063,39493,74350,36954,397777,111304,368827,18683,5641,N,N,50117,13062,354559,74701
Texas,TX,17,TX-17,550601,171731,129226,155299,94345,266019,284582,522495,86479,12257,38144,142991,155411,46023,102303,53472,500200,155775,438916,71168,21392,N,N,6034,10451,104304,346034
Texas,TX,18,TX-18,480387,126644,138713,144541,70489,233867,246520,462858,75981,25920,43522,141147,120080,29586,80038,40094,410945,120132,208568,215580,17534,N,N,28717,7835,135295,107589
Texas,TX,19,TX-19,509891,141466,125507,145193,97725,253073,256818,478854,73898,23661,46951,157415,139405,33887,75497,33075,439279,108572,429575,29977,5605,N,N,29663,10920,158311,306882
Texas,TX,20,TX-20,549483,160406,149365,153772,85940,266701,282782,538664,78203,27712,48629,157025,141805,47680,84894,41738,473142,126632,454208,34008,13058,5751,N,27207,15763,359225,137455
Texas,TX,21,TX-21,622228,142173,157270,194292,128493,300234,321994,609561,62856,10205,26047,121992,157308,39541,173724,93411,585976,267135,545917,26014,14202,N,N,16844,18607,152663,418194
Texas,TX,22,TX-22,577164,115523,160247,205845,95549,283653,293511,572542,37033,15242,23700,115783,141733,42643,149108,88955,538222,238063,363663,90540,96189,N,N,14120,10331,131296,253902
Texas,TX,23,TX-23,507547,122847,136998,153042,94660,255762,251785,495087,64674,38650,53003,152661,120113,36111,67459,39550,415894,107009,432414,22598,9643,N,N,33170,7572,323467,149430
Texas,TX,24,TX-24,503766,107198,135318,175632,85618,241559,262207,501043,27589,8057,20675,90158,115974,41621,153596,73685,475034,227281,356984,69184,46929,N,N,15268,11265,76490,299672
Texas,TX,25,TX-25,570238,120182,151528,184393,114135,286160,284078,538733,49268,15154,34531,140774,140900,34915,127533,76431,520553,203964,477742,47854,16429,N,N,11245,14079,85432,411296
Texas,TX,26,TX-26,605249,131803,172846,213256,87344,293998,311251,596433,37984,9183,25823,114186,161362,42384,174182,78129,570243,252311,485828,54444,29495,N,N,13496,16226,87452,420675
Texas,TX,27,TX-27,517267,108956,128370,165306,114635,249089,268178,504347,66523,25356,50656,168156,137109,40821,64258,30911,441255,95169,450131,30575,6770,N,N,19945,8192,244288,230403
Texas,TX,28,TX-28,434305,116088,112878,130291,75048,211486,222819,431020,71215,35638,48991,126697,107954,35198,54857,24970,349676,79827,380927,22504,N,N,N,17271,10001,308450,95644
Texas,TX,29,TX-29,369239,115825,94998,111250,47166,184052,185187,368373,53056,40532,51191,121854,87121,23151,31767,13623,277516,45390,250530,50559,7339,N,N,51102,6742,253013,54124
Texas,TX,30,TX-30,479082,122989,120418,156127,79548,226629,252453,466444,80570,24579,44705,149604,125965,29569,71420,33240,409798,104660,199737,246174,9420,N,N,12972,9549,108419,106998
Texas,TX,31,TX-31,602236,137130,172836,190521,101749,291279,310957,588627,45276,11734,27478,146309,157690,58782,133819,66424,563024,200243,464041,75995,22112,N,N,14600,21722,121927,369505
Texas,TX,32,TX-32,505867,120849,127369,166856,90793,241389,264478,501485,33312,13515,20925,93516,112584,32282,144523,88522,471427,233045,368510,64757,39905,N,N,17777,10758,81663,307844
Texas,TX,33,TX-33,360226,107457,87377,109125,56267,177253,182973,356444,57028,31822,51271,129159,82816,19899,32501,12758,277133,45259,211253,87623,9130,N,N,40240,8759,177006,79751
Texas,TX,34,TX-34,424863,111405,105261,121813,86384,210491,214372,410889,76627,37002,56102,138012,98966,30221,43871,20689,331759,64560,394847,N,N,N,N,17106,3934,337458,77793
Texas,TX,35,TX-35,532967,152919,153805,151784,74459,267072,265895,519488,89634,25979,47413,176969,128943,37367,84615,31681,459575,116296,407887,53412,7645,N,N,45363,14093,282126,180731
Texas,TX,36,TX-36,519385,111025,124400,176585,107375,256534,262851,500765,53382,20352,53698,178104,135197,40886,62026,29122,445335,91148,434194,55785,7186,N,N,8042,10489,97071,350581
Utah,UT,1,UT-1,521517,138536,148842,151996,82143,261025,260492,515287,40922,6163,31278,136499,149871,50547,102135,45024,484076,147159,479166,6697,7073,4950,N,9899,11974,49305,443992
Utah,UT,2,UT-2,529608,137185,146798,143419,102206,266242,263366,518139,54116,8771,31073,132552,140241,54991,103535,58445,489764,161980,469567,6167,10348,6580,4405,21509,11119,49995,444107
Utah,UT,3,UT-3,517848,166076,129325,139150,83297,257021,260827,505535,48167,4598,20274,95880,159756,53701,120570,63069,492976,183639,477127,2771,8430,7996,5263,5608,11033,35764,448612
Utah,UT,4,UT-4,518368,125929,171294,144381,76764,257209,261159,513240,27894,8612,29913,130940,139902,55582,106008,47411,479843,153419,452383,6601,15171,N,6179,22264,12652,55184,424024
Vermont,VT,At-large,VT-At-large,500274,100387,103384,173821,122682,244517,255757,478729,51013,8442,24270,148257,103584,39333,109047,67341,467562,176388,477697,4621,6816,N,N,1688,7971,8387,471163
Virginia,VA,1,VA-1,590281,115999,141411,210432,122439,288174,302107,575553,32713,14383,30751,162409,129072,45670,129361,78635,545147,207996,443661,100532,14981,N,N,12468,16444,46940,413771
Virginia,VA,2,VA-2,559397,140647,136454,172710,109586,278026,281371,525667,39039,7604,27051,133312,155611,51050,113919,70850,524742,184769,390382,113506,26459,N,N,8623,18247,35133,368594
Virginia,VA,3,VA-3,559137,144935,140818,174813,98571,265323,293814,534234,67289,11991,39245,160058,157950,51175,87587,51131,507901,138718,263911,255075,12965,N,N,6529,18190,23364,250743
Virginia,VA,4,VA-4,579606,127615,141627,196356,114008,277950,301656,552122,69142,16972,48195,166977,141145,44399,102397,59521,514439,161918,311503,238077,9381,N,N,5041,14130,19287,300456
Virginia,VA,5,VA-5,578531,109871,121923,197536,149201,277524,301007,549679,71010,19782,49096,181013,130059,42943,93319,62319,509653,155638,443231,111757,7846,N,N,N,12706,10652,435426
Virginia,VA,6,VA-6,582756,131680,119755,191356,139965,278155,304601,551076,74487,16493,44649,198634,129331,45022,95417,53210,521614,148627,496792,63253,8065,N,N,2958,10188,17271,485751
Virginia,VA,7,VA-7,588061,108547,142947,210231,126336,278885,309176,579054,42425,15614,35687,155344,121679,40984,138251,80502,536760,218753,428552,120402,20543,N,N,5757,10665,22073,415336
Virginia,VA,8,VA-8,533417,109243,168603,166271,89300,259240,274177,528006,29010,11602,14064,64619,68068,29638,172796,172630,507751,345426,364779,80064,55619,N,N,11088,20239,57449,325432
Virginia,VA,9,VA-9,567315,119009,111192,191661,145453,281110,286205,537046,101298,30760,53639,185195,137538,52281,64088,43814,482916,107902,521514,30983,5856,N,N,N,5571,6719,517463
Virginia,VA,10,VA-10,565197,98594,144436,219463,102704,278318,286879,561118,18701,8115,22691,95847,95638,35190,171923,135793,534391,307716,418603,40263,77765,N,N,8192,18856,43842,386646
Virginia,VA,11,VA-11,509988,108065,133940,181280,86703,252893,257095,503481,28904,10259,21190,70213,93911,33734,153067,127614,478539,280681,316427,68574,81213,N,N,16601,25252,61024,276078
Washington,WA,1,WA-1,519555,89058,139221,193442,97834,259298,260257,513626,31799,8117,21272,111183,128958,52577,132406,65042,490166,197448,439576,7523,38229,6702,N,9205,17522,29044,422876
Washington,WA,2,WA-2,558321,127235,132695,177757,120634,277303,281018,547881,51230,10157,28630,134157,153650,62004,110587,59136,519534,169723,460962,14808,41006,5897,N,9674,24402,41083,433913
Washington,WA,3,WA-3,544994,98922,130162,188493,127417,267783,277211,540961,46668,7448,31736,150910,151676,65612,90822,46790,505810,137612,484519,7022,15570,5586,N,8048,22498,28562,466885
Washington,WA,4,WA-4,443137,101079,104005,139372,98681,219857,223280,436739,48302,21318,40190,127794,114101,41301,62503,35930,381629,98433,365274,5862,7181,14208,N,36793,14254,102450,307149
Washington,WA,5,WA-5,551532,128261,125417,173298,124556,270788,280744,528622,71510,7590,30545,133086,160402,70858,96781,52270,513397,149051,495255,7413,10342,9288,N,8437,19289,28282,479564
Washington,WA,6,WA-6,570991,105695,133343,185911,146042,286913,284078,555996,50470,8491,31190,139666,156052,65801,104288,65503,531310,169791,477842,19327,22023,10385,N,5709,31401,31306,457984
Washington,WA,7,WA-7,600321,143720,177404,169461,109736,299820,300501,585893,51450,7538,14079,65331,115927,43354,218975,135117,578704,354092,473192,21442,58953,N,N,8241,33448,31156,453579
Washington,WA,8,WA-8,522952,90974,129726,201383,100869,255555,267397,518688,34677,7891,25808,131034,128630,54068,114799,60722,489253,175521,426475,15109,36359,6081,N,14373,21074,34785,410162
Washington,WA,9,WA-9,499184,104339,134537,163081,97227,249316,249868,492776,44073,13959,23194,104160,110487,44581,131984,70819,462031,202803,285686,57935,99253,N,5952,18848,27340,39942,267759
Washington,WA,10,WA-10,544552,127027,139911,168782,108832,269010,275542,533246,46965,8073,30935,147847,144136,58128,101863,53570,505544,155433,420200,35399,35136,7007,9054,9094,28764,43249,392772
