State,District Number,Congressional District,Voting-Age Population,Above Poverty Level,Below Poverty Level
Missouri,6,MO-6,583457,558571,50539
Missouri,7,MO-7,595559,578418,81695
Missouri,8,MO-8,567717,545199,87592
Montana,At-large,MT-At-large,823668,804355,97803
Nebraska,1,NE-1,473676,457270,45705
Nebraska,2,NE-2,467041,456667,41176
Nebraska,3,NE-3,439543,424327,43757
Nevada,1,NV-1,418811,412668,75734
Nevada,2,NV-2,531489,521800,45749
Nevada,3,NV-3,607915,606083,42769
Nevada,4,NV-4,516951,505533,55887
New Hampshire,1,NH-1,540224,523141,35655
New Hampshire,2,NH-2,529588,510009,33260
New Jersey,1,NJ-1,542034,533571,53128
New Jersey,2,NJ-2,531339,513349,49849
New Jersey,3,NJ-3,570276,558203,30679
New Jersey,4,NJ-4,539643,533840,31194
New Jersey,5,NJ-5,527932,517601,22025
New Jersey,6,NJ-6,502463,475444,37453
New Jersey,7,NJ-7,527076,520070,20223
New Jersey,8,NJ-8,425604,420513,47592
New Jersey,9,NJ-9,481499,479380,49046
New Jersey,10,NJ-10,496051,480735,65422
New Jersey,11,NJ-11,548734,536031,21125
New Jersey,12,NJ-12,505683,489002,36428
New Mexico,1,NM-1,514775,508282,73116
New Mexico,2,NM-2,484702,467832,84825
New Mexico,3,NM-3,507907,499664,89207
New York,1,NY-1,530436,519175,31046
New York,2,NY-2,515987,512695,31530
New York,3,NY-3,521235,512317,25261
New York,4,NY-4,506457,497226,23349
New York,5,NY-5,501784,493643,47721
New York,6,NY-6,448065,443584,41855
New York,7,NY-7,446196,439774,79879
New York,8,NY-8,540660,534467,96821
New York,9,NY-9,486880,483155,61616
New York,10,NY-10,473542,458508,57042
New York,11,NY-11,500998,495306,54201
New York,12,NY-12,530252,513697,48742
New York,13,NY-13,505003,497817,109993
New York,14,NY-14,392398,380258,44703
New York,15,NY-15,410819,405180,121432
New York,16,NY-16,498243,485031,51192
New York,17,NY-17,502861,489310,36680
New York,18,NY-18,524373,505373,38590
New York,19,NY-19,553713,527441,58461
New York,20,NY-20,557251,532729,50906
New York,21,NY-21,551303,516373,54118
New York,22,NY-22,539437,510768,64552
New York,23,NY-23,544564,510456,70217
New York,24,NY-24,539797,514966,58584
New York,25,NY-25,543698,523100,68088
New York,26,NY-26,539694,523261,72530
New York,27,NY-27,564383,545584,42730
North Carolina,1,NC-1,566173,536378,89085
North Carolina,2,NC-2,601142,593495,42953
North Carolina,3,NC-3,579504,545792,72185
North Carolina,4,NC-4,624834,596963,56009
North Carolina,5,NC-5,572721,550670,76313
North Carolina,6,NC-6,567392,555732,62094
North Carolina,7,NC-7,613510,598995,81576
North Carolina,8,NC-8,581896,560326,64418
North Carolina,9,NC-9,561804,548599,56464
North Carolina,10,NC-10,585102,572654,70692
North Carolina,11,NC-11,604505,591536,74390
North Carolina,12,NC-12,591843,581131,54940
North Carolina,13,NC-13,579274,560122,65082
North Dakota,At-large,ND-At-large,567351,546513,57163
Ohio,1,OH-1,541695,522774,61323
Ohio,2,OH-2,557971,550012,65318
Ohio,3,OH-3,560963,543140,87584
Ohio,4,OH-4,542874,517764,53877
Ohio,5,OH-5,549171,533728,49753
Ohio,6,OH-6,545803,526363,78256
Ohio,7,OH-7,557024,544781,55197
Ohio,8,OH-8,546406,532437,53264
Ohio,9,OH-9,545749,534835,89928
Ohio,10,OH-10,552514,526770,71539
Ohio,11,OH-11,524803,507302,107065
Ohio,12,OH-12,585940,569339,49050
Ohio,13,OH-13,559931,541535,80108
Ohio,14,OH-14,553668,544116,36742
Ohio,15,OH-15,586092,556465,61556
Ohio,16,OH-16,553316,543064,33622
Oklahoma,1,OK-1,565812,558168,62121
Oklahoma,2,OK-2,564213,543589,91676
Oklahoma,3,OK-3,571661,545818,71757
Oklahoma,4,OK-4,589702,563986,66997
Oklahoma,5,OK-5,561277,547860,72937
Oregon,1,OR-1,606198,596872,48348
Oregon,2,OR-2,619186,605564,73367
Oregon,3,OR-3,627716,616973,65208
Oregon,4,OR-4,638548,626815,96381
Oregon,5,OR-5,606523,595610,60545
Pennsylvania,1,PA-1,544860,537518,27607
Pennsylvania,2,PA-2,496510,487446,105114
Pennsylvania,3,PA-3,564612,538968,113844
Pennsylvania,4,PA-4,543723,528636,28462
Pennsylvania,5,PA-5,519983,498676,45199
Pennsylvania,6,PA-6,522912,507935,39976
Pennsylvania,7,PA-7,552078,533234,53161
Pennsylvania,8,PA-8,535133,516034,59557
Pennsylvania,9,PA-9,555775,528749,49237
Pennsylvania,10,PA-10,552761,531726,46291
Pennsylvania,11,PA-11,553568,543005,37367
Pennsylvania,12,PA-12,551022,516051,66048
Pennsylvania,13,PA-13,545111,523708,52637
Pennsylvania,14,PA-14,551164,534212,50791
Pennsylvania,15,PA-15,548615,519562,57901
Pennsylvania,16,PA-16,539710,513587,64498
Pennsylvania,17,PA-17,559285,552462,41481
Pennsylvania,18,PA-18,544390,522202,71545
Rhode Island,1,RI-1,395409,376196,49877
Rhode Island,2,RI-2,407668,391434,33551
South Carolina,1,SC-1,613912,605071,53615
South Carolina,2,SC-2,537342,520411,57271
South Carolina,3,SC-3,534772,517074,70663
South Carolina,4,SC-4,533533,518231,50729
South Carolina,5,SC-5,552247,541112,65432
South Carolina,6,SC-6,506843,469768,95495
South Carolina,7,SC-7,571428,558493,89683
South Dakota,At-large,SD-At-large,647089,623323,73236
Tennessee,1,TN-1,563918,549414,75115
Tennessee,2,TN-2,583056,568291,67235
Tennessee,3,TN-3,571456,554284,73597
Tennessee,4,TN-4,590540,576455,71929
