State Abbreviation,State,District Number,Voting-Age Population,White,Black,Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic,White Non-Hispanic,Congressional District
FL,Florida,13,584889,479723,68348,15854,N,N,5689,12961,46059,444148,FL-13
FL,Florida,14,534225,381218,95829,17872,N,N,16749,21164,138740,273612,FL-14
FL,Florida,15,578715,451431,84991,11201,N,N,14806,13386,103755,370973,FL-15
FL,Florida,16,638769,552361,52433,10649,N,N,10954,10038,74228,493256,FL-16
FL,Florida,17,615104,552198,39303,5455,N,N,9332,7256,69215,494198,FL-17
FL,Florida,18,599873,493892,70096,10417,N,N,10979,14063,75180,434724,FL-18
FL,Florida,19,631233,560813,40700,10868,N,N,11983,5755,82220,493017,FL-19
FL,Florida,20,507613,194989,267487,16424,N,N,13700,13644,112325,106176,FL-20
FL,Florida,21,546101,442544,70166,14383,N,N,7997,9671,92844,362151,FL-21
FL,Florida,22,534846,424475,73958,12221,N,N,12100,10285,90007,350850,FL-22
FL,Florida,23,510212,376188,69090,22271,N,N,23434,15871,183434,227022,FL-23
FL,Florida,24,477697,198070,237909,6483,N,N,26447,8322,178950,58894,FL-24
FL,Florida,25,453055,407167,25858,4428,N,N,9990,4862,308446,116776,FL-25
FL,Florida,26,476033,380877,54631,7742,N,N,21939,7931,321023,91978,FL-26
FL,Florida,27,464604,405950,26293,9428,N,N,15750,6918,316284,113859,FL-27
GA,Georgia,1,550713,360901,162854,5574,N,N,5324,14172,23879,347055,GA-1
GA,Georgia,2,498322,223803,254868,4892,N,N,5125,7955,15046,217005,GA-2
GA,Georgia,3,548941,385375,139499,7484,N,N,6806,7837,21966,372018,GA-3
GA,Georgia,4,527938,157491,337809,16867,N,N,7049,8048,22637,146089,GA-4
GA,Georgia,5,587385,200392,348231,15960,N,N,7847,13397,22830,187309,GA-5
GA,Georgia,6,496468,366714,68087,43350,3345,N,4973,9663,28564,346894,GA-6
GA,Georgia,7,486845,294388,107049,55935,N,N,15465,11137,52988,261236,GA-7
GA,Georgia,8,527338,340231,166078,7188,N,N,4882,6963,17792,330423,GA-8
GA,Georgia,9,556967,498528,36889,4721,N,N,6713,9132,32477,473612,GA-9
GA,Georgia,10,565803,395688,144717,9737,N,N,5767,8866,18640,383243,GA-10
GA,Georgia,11,559687,427917,92086,15665,N,N,9017,13161,34432,405549,GA-11
GA,Georgia,12,540482,326120,187815,7116,N,N,7063,11619,23019,313309,GA-12
GA,Georgia,13,523476,161110,323677,11623,N,N,13914,12495,33506,144641,GA-13
GA,Georgia,14,516434,451500,49867,N,N,N,2401,8668,27224,427598,GA-14
HI,Hawaii,1,509992,100905,13731,259843,N,29853,N,100095,41023,90409,HI-1
HI,Hawaii,2,506514,183246,9689,131542,N,61480,6185,112582,47808,167099,HI-2
ID,Idaho,1,661724,609100,N,8316,9659,N,13001,16656,45043,582075,ID-1
ID,Idaho,2,590690,548624,N,7651,6653,N,10710,13900,54863,508999,ID-2
IL,Illinois,1,524114,224647,274362,8218,N,N,9689,6902,38099,197642,IL-1
IL,Illinois,2,497132,184077,286699,3837,N,N,13687,8271,47560,152127,IL-2
IL,Illinois,3,479004,388095,28953,18100,N,N,33685,8549,119520,307829,IL-3
IL,Illinois,4,410804,263899,21445,15798,N,N,94954,11535,235867,136168,IL-4
IL,Illinois,5,545831,451514,17468,40455,N,N,21802,13489,85662,392080,IL-5
IL,Illinois,6,523796,453389,13529,40400,N,N,8646,7143,36875,426440,IL-6
IL,Illinois,7,522767,204321,255621,30224,N,N,22351,9244,61198,168814,IL-7
IL,Illinois,8,442009,319860,24958,52467,2941,N,31933,8978,83841,272278,IL-8
IL,Illinois,9,498242,378283,40709,53819,N,N,9728,13558,40177,350915,IL-9
IL,Illinois,10,468255,359174,32093,40923,N,N,23646,9998,69857,317181,IL-10
IL,Illinois,11,472244,350208,56989,28548,N,N,21801,12108,90099,285959,IL-11
IL,Illinois,12,528398,425034,87619,4299,N,N,2915,7612,11072,417471,IL-12
IL,Illinois,13,539012,457815,55609,12809,N,N,3085,9002,13293,447847,IL-13
IL,Illinois,14,525729,472453,19037,18027,N,N,7266,7879,47421,436299,IL-14
IL,Illinois,15,532371,498724,23257,2379,N,N,N,5060,8780,492449,IL-15
IL,Illinois,16,520730,481303,18598,4825,N,N,6132,8970,34243,455096,IL-16
IL,Illinois,17,512994,436689,56123,3645,N,N,5888,9162,30558,414483,IL-17
IL,Illinois,18,531334,492886,20368,7649,N,N,1979,7367,10712,484911,IL-18
IN,Indiana,1,537218,388801,95275,5621,N,N,32900,12837,68346,359444,IN-1
IN,Indiana,2,522778,464810,34112,4240,N,N,8190,10664,30045,444280,IN-2
IN,Indiana,3,540022,485809,31233,7902,N,N,4083,8785,19057,471761,IN-3
IN,Indiana,4,567094,519827,22611,9335,N,N,6323,8502,19357,507113,IN-4
IN,Indiana,5,573500,495800,49657,13525,N,N,3287,10171,16793,482778,IN-5
IN,Indiana,6,549035,521923,15390,3001,N,N,1555,7017,7943,516121,IN-6
IN,Indiana,7,521076,334915,153947,9284,N,N,8171,13654,27661,317307,IN-7
IN,Indiana,8,549149,513979,24085,2922,N,N,N,6394,6219,509455,IN-8
IN,Indiana,9,575308,537099,17405,9208,N,N,2439,9017,10686,529111,IN-9
IA,Iowa,1,580187,544059,18913,5771,2913,N,2226,6003,12775,534607,IA-1
IA,Iowa,2,581525,543484,16740,8292,N,N,3287,7926,22758,525125,IA-2
IA,Iowa,3,601044,557742,18169,10725,N,N,3156,9832,24306,537428,IA-3
IA,Iowa,4,564463,538737,7067,6745,N,N,2747,6482,23431,519370,IA-4
KS,Kansas,1,502712,459774,16454,5479,N,N,7033,11137,49522,421084,KS-1
KS,Kansas,2,538594,479401,25593,4770,9172,N,3888,16061,25560,462082,KS-2
KS,Kansas,3,534532,453444,43636,17327,N,N,5759,12194,33071,429303,KS-3
KS,Kansas,4,515676,437657,35546,11977,6166,N,10061,14743,38949,412175,KS-4
KY,Kentucky,1,552530,500034,38384,2432,N,N,N,8582,10548,492760,KY-1
KY,Kentucky,2,577362,530370,28032,4163,N,N,2796,9872,10258,524442,KY-2
KY,Kentucky,3,553926,410943,117485,10669,N,N,3796,9967,13047,401441,KY-3
KY,Kentucky,4,565232,532650,19105,3944,N,N,1600,7153,9796,525001,KY-4
