State,District Number,Congressional District,Voting-Age Population,Men,Women
New Jersey,5,NJ-5,527932,252797,275135
New Jersey,6,NJ-6,502463,247252,255211
New Jersey,7,NJ-7,527076,254674,272402
New Jersey,8,NJ-8,425604,207269,218335
New Jersey,9,NJ-9,481499,230505,250994
New Jersey,10,NJ-10,496051,234506,261545
New Jersey,11,NJ-11,548734,261914,286820
New Jersey,12,NJ-12,505683,242465,263218
New Mexico,1,NM-1,514775,249488,265287
New Mexico,2,NM-2,484702,239241,245461
New Mexico,3,NM-3,507907,246780,261127
New York,1,NY-1,530436,257571,272865
New York,2,NY-2,515987,252580,263407
New York,3,NY-3,521235,248504,272731
New York,4,NY-4,506457,240633,265824
New York,5,NY-5,501784,232458,269326
New York,6,NY-6,448065,212441,235624
New York,7,NY-7,446196,214479,231717
New York,8,NY-8,540660,233029,307631
New York,9,NY-9,486880,218455,268425
New York,10,NY-10,473542,221514,252028
New York,11,NY-11,500998,237048,263950
New York,12,NY-12,530252,250793,279459
New York,13,NY-13,505003,232128,272875
New York,14,NY-14,392398,194391,198007
New York,15,NY-15,410819,184098,226721
New York,16,NY-16,498243,223699,274544
New York,17,NY-17,502861,241981,260880
New York,18,NY-18,524373,258678,265695
New York,19,NY-19,553713,276166,277547
New York,20,NY-20,557251,266403,290848
New York,21,NY-21,551303,283623,267680
New York,22,NY-22,539437,265317,274120
New York,23,NY-23,544564,267455,277109
New York,24,NY-24,539797,260293,279504
New York,25,NY-25,543698,257318,286380
New York,26,NY-26,539694,255091,284603
New York,27,NY-27,564383,278943,285440
North Carolina,1,NC-1,566173,262291,303882
North Carolina,2,NC-2,601142,291498,309644
North Carolina,3,NC-3,579504,293180,286324
North Carolina,4,NC-4,624834,294403,330431
North Carolina,5,NC-5,572721,271575,301146
North Carolina,6,NC-6,567392,268248,299144
North Carolina,7,NC-7,613510,291864,321646
North Carolina,8,NC-8,581896,280980,300916
North Carolina,9,NC-9,561804,267655,294149
North Carolina,10,NC-10,585102,277020,308082
North Carolina,11,NC-11,604505,289081,315424
North Carolina,12,NC-12,591843,275402,316441
North Carolina,13,NC-13,579274,271691,307583
North Dakota,At-large,ND-At-large,567351,291026,276325
Ohio,1,OH-1,541695,262456,279239
Ohio,2,OH-2,557971,267271,290700
Ohio,3,OH-3,560963,262190,298773
Ohio,4,OH-4,542874,269636,273238
Ohio,5,OH-5,549171,265489,283682
Ohio,6,OH-6,545803,271382,274421
Ohio,7,OH-7,557024,267916,289108
Ohio,8,OH-8,546406,263947,282459
Ohio,9,OH-9,545749,263532,282217
Ohio,10,OH-10,552514,263435,289079
Ohio,11,OH-11,524803,238090,286713
Ohio,12,OH-12,585940,290618,295322
Ohio,13,OH-13,559931,268927,291004
Ohio,14,OH-14,553668,266077,287591
Ohio,15,OH-15,586092,292487,293605
Ohio,16,OH-16,553316,269087,284229
Oklahoma,1,OK-1,565812,270452,295360
Oklahoma,2,OK-2,564213,275370,288843
Oklahoma,3,OK-3,571661,285869,285792
Oklahoma,4,OK-4,589702,291854,297848
Oklahoma,5,OK-5,561277,266722,294555
Oregon,1,OR-1,606198,294448,311750
Oregon,2,OR-2,619186,305421,313765
Oregon,3,OR-3,627716,309299,318417
Oregon,4,OR-4,638548,313807,324741
Oregon,5,OR-5,606523,295492,311031
Pennsylvania,1,PA-1,544860,264421,280439
Pennsylvania,2,PA-2,496510,234087,262423
Pennsylvania,3,PA-3,564612,253086,311526
Pennsylvania,4,PA-4,543723,260436,283287
Pennsylvania,5,PA-5,519983,243516,276467
Pennsylvania,6,PA-6,522912,252469,270443
Pennsylvania,7,PA-7,552078,267694,284384
Pennsylvania,8,PA-8,535133,261619,273514
Pennsylvania,9,PA-9,555775,277295,278480
Pennsylvania,10,PA-10,552761,266462,286299
Pennsylvania,11,PA-11,553568,269825,283743
Pennsylvania,12,PA-12,551022,273160,277862
