State Abbreviation,State,District Number,Voting-Age Population,Less than 9th Grade,"9th to 12 Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate Degree,High School or More,Bachelor's Degree or More,Congressional District
CA,California,8,477512,16654,45292,154981,139316,44583,48542,28144,415566,76686,CA-8
CA,California,9,482967,22179,38221,147403,126601,51814,68040,28709,422567,96749,CA-9
CA,California,10,493409,25293,43288,154120,145033,42682,59753,23240,424828,82993,CA-10
CA,California,11,508963,12985,21166,86079,115072,41873,142028,89760,474812,231788,CA-11
CA,California,12,571300,24369,21283,67565,78296,27093,219245,133449,525648,352694,CA-12
CA,California,13,536892,16604,24706,88938,108388,33353,151914,112989,495582,264903,CA-13
CA,California,14,511049,18871,20813,79470,105663,37951,159360,88921,471365,248281,CA-14
CA,California,15,503361,13285,23799,105049,115831,34366,134275,76756,466277,211031,CA-15
CA,California,16,423147,33543,50462,124002,120993,32787,43302,18058,339142,61360,CA-16
CA,California,17,438374,13228,19579,69782,81191,33473,128406,92715,405567,221121,CA-17
CA,California,18,491580,6902,12128,57910,84970,28246,158493,142931,472550,301424,CA-18
CA,California,19,482363,28909,31052,89585,109884,43770,119763,59400,422402,179163,CA-19
CA,California,20,434889,19397,26214,91612,123963,41687,79665,52351,389278,132016,CA-20
CA,California,21,354669,30382,49482,114452,96588,26041,27414,10310,274805,37724,CA-21
CA,California,22,483064,20958,33175,113960,138342,53000,80429,43200,428931,123629,CA-22
CA,California,23,490446,19789,51116,136106,144489,45193,59122,34631,419541,93753,CA-23
CA,California,24,508333,12493,22428,100200,157352,46880,106787,62193,473412,168980,CA-24
CA,California,25,482964,19148,40232,113657,128561,49777,89036,42553,423584,131589,CA-25
CA,California,26,480928,20235,24094,101186,130031,49476,97939,57967,436599,155906,CA-26
CA,California,27,471963,29513,23456,82256,100069,39294,122862,74513,418994,197375,CA-27
CA,California,28,502971,18412,17960,82496,106049,46643,155739,75672,466599,231411,CA-28
CA,California,29,402898,36869,38058,101848,105890,30540,69161,20532,327971,89693,CA-29
CA,California,30,529846,19105,23003,87198,127319,40343,155101,77777,487738,232878,CA-30
CA,California,31,482081,18582,45590,133160,128296,41316,72149,42988,417909,115137,CA-31
CA,California,32,449452,34351,34156,124345,121048,36250,71065,28237,380945,99302,CA-32
CA,California,33,517251,5748,12703,55109,98470,29721,183848,131652,498800,315500,CA-33
CA,California,34,425520,43810,37570,89614,94176,24198,96927,39225,344140,136152,CA-34
CA,California,35,450565,32600,46007,126690,128310,36590,60612,19756,371958,80368,CA-35
CA,California,36,536333,22723,39828,183900,134038,42824,68798,44222,473782,113020,CA-36
CA,California,37,468463,25297,30477,78851,110517,28063,125134,70124,412689,195258,CA-37
CA,California,38,481296,30376,35106,136716,126053,39276,81103,32666,415814,113769,CA-38
CA,California,39,486713,13837,22452,91136,121947,44311,135432,57598,450424,193030,CA-39
CA,California,40,340435,43948,40368,98979,90081,22031,33112,11916,256119,45028,CA-40
