State Abbreviation,State,District Number,Voting-Age Population,18-29 Years Old,30-44 Years Old,45-64 Years Old,65+ Years Old,Congressional District
IL,Illinois,13,539012,143933,119427,165322,110330,IL-13
IL,Illinois,14,525729,91105,132209,201495,100920,IL-14
IL,Illinois,15,532371,95218,121442,182004,133707,IL-15
IL,Illinois,16,520730,103375,109416,184379,123560,IL-16
IL,Illinois,17,512994,101060,111726,174240,125968,IL-17
IL,Illinois,18,531334,95626,121408,181679,132621,IL-18
IN,Indiana,1,537218,106269,125653,188611,116685,IN-1
IN,Indiana,2,522778,110898,118188,175795,117897,IN-2
IN,Indiana,3,540022,111370,129229,184607,114816,IN-3
IN,Indiana,4,567094,133208,127470,189264,117152,IN-4
IN,Indiana,5,573500,111187,147605,199662,115046,IN-5
IN,Indiana,6,549035,115411,116898,189917,126809,IN-6
IN,Indiana,7,521076,128612,133507,167449,91508,IN-7
IN,Indiana,8,549149,110466,125872,188624,124187,IN-8
IN,Indiana,9,575308,132059,135378,189052,118819,IN-9
IA,Iowa,1,580187,120677,129269,191851,138390,IA-1
IA,Iowa,2,581525,126756,130205,191051,133513,IA-2
IA,Iowa,3,601044,121087,155881,201136,122940,IA-3
IA,Iowa,4,564463,122947,118353,182759,140404,IA-4
KS,Kansas,1,502712,127140,106367,154679,114526,KS-1
KS,Kansas,2,538594,119299,123546,172970,122779,KS-2
KS,Kansas,3,534532,103498,139817,184931,106286,KS-3
KS,Kansas,4,515676,107482,122563,172400,113231,KS-4
KY,Kentucky,1,552530,112558,119362,187927,132683,KY-1
KY,Kentucky,2,577362,121167,134374,198804,123017,KY-2
KY,Kentucky,3,553926,117509,132285,185157,118975,KY-3
KY,Kentucky,4,565232,109560,137967,201182,116523,KY-4
KY,Kentucky,5,537877,102630,123765,189523,121959,KY-5
KY,Kentucky,6,581992,139582,135939,192089,114382,KY-6
LA,Louisiana,1,594231,118153,143712,203742,128624,LA-1
LA,Louisiana,2,587115,124974,151730,196900,113511,LA-2
LA,Louisiana,3,577604,122302,146926,193990,114386,LA-3
LA,Louisiana,4,559310,119926,138312,178958,122114,LA-4
LA,Louisiana,5,555804,113240,138593,182823,121148,LA-5
LA,Louisiana,6,585015,138843,145438,186354,114380,LA-6
ME,Maine,1,546625,91423,120900,196768,137534,ME-1
ME,Maine,2,524036,90205,106404,191578,135849,ME-2
MD,Maryland,1,567926,102678,117878,209151,138219,MD-1
MD,Maryland,2,560167,120269,143100,189658,107140,MD-2
MD,Maryland,3,545892,118771,138350,177240,111531,MD-3
MD,Maryland,4,503398,93014,125012,185566,99806,MD-4
MD,Maryland,5,556897,121543,123848,208003,103503,MD-5
MD,Maryland,6,523698,100520,123665,186857,112656,MD-6
MD,Maryland,7,528398,115519,121941,180162,110776,MD-7
MD,Maryland,8,533774,95529,126983,190413,120849,MD-8
MA,Massachusetts,1,568024,119473,119459,198117,130975,MA-1
MA,Massachusetts,2,558962,127590,117040,196871,117461,MA-2
MA,Massachusetts,3,543580,113187,124132,204678,101583,MA-3
MA,Massachusetts,4,559943,103075,119792,212866,124210,MA-4
MA,Massachusetts,5,535109,107925,129135,180011,118038,MA-5
MA,Massachusetts,6,577241,101032,119170,215167,141872,MA-6
MA,Massachusetts,7,558430,197433,143411,135309,82277,MA-7
MA,Massachusetts,8,561241,113602,138733,189771,119135,MA-8
MA,Massachusetts,9,573274,97060,109998,204076,162140,MA-9
MI,Michigan,1,564858,97821,106924,197514,162599,MI-1
MI,Michigan,2,551323,123650,126229,183561,117883,MI-2
MI,Michigan,3,551028,118568,135861,184569,112030,MI-3
MI,Michigan,4,554938,115498,114323,188632,136485,MI-4
MI,Michigan,5,520558,101137,110301,185117,124003,MI-5
MI,Michigan,6,541981,117971,117761,182640,123609,MI-6
MI,Michigan,7,548462,99343,121286,197979,129854,MI-7
MI,Michigan,8,554462,128782,119354,195443,110883,MI-8
MI,Michigan,9,552114,117050,129459,190454,115151,MI-9
MI,Michigan,10,553804,91918,118907,212452,130527,MI-10
MI,Michigan,11,534817,96984,114133,203487,120213,MI-11
MI,Michigan,12,526943,144577,114484,166439,101443,MI-12
MI,Michigan,13,474739,110377,107407,161381,95574,MI-13
MI,Michigan,14,512851,109658,117113,171524,114556,MI-14
MN,Minnesota,1,500330,103708,114362,165683,116577,MN-1
MN,Minnesota,2,511914,96331,131892,185390,98301,MN-2
MN,Minnesota,3,517834,80909,124874,199945,112106,MN-3
MN,Minnesota,4,510862,109706,130270,167528,103358,MN-4
MN,Minnesota,5,517155,137964,150173,141709,87309,MN-5
MN,Minnesota,6,525551,104564,137834,190089,93064,MN-6
MN,Minnesota,7,495727,91877,106463,167305,130082,MN-7
MN,Minnesota,8,527541,92761,112017,185789,136974,MN-8
MS,Mississippi,1,577880,126850,136703,193135,121192,MS-1
MS,Mississippi,2,523479,117121,123974,175829,106555,MS-2
MS,Mississippi,3,559913,120854,140729,175562,122768,MS-3
MS,Mississippi,4,579386,125374,142348,189661,122003,MS-4
MO,Missouri,1,549361,130558,139392,173891,105520,MO-1
MO,Missouri,2,575828,93035,129833,210481,142479,MO-2
MO,Missouri,3,602748,113183,148292,213686,127587,MO-3
MO,Missouri,4,584925,140461,129155,185648,129661,MO-4
MO,Missouri,5,573775,127201,142534,185355,118685,MO-5
MO,Missouri,6,583457,112443,141987,201080,127947,MO-6
MO,Missouri,7,595559,128623,136612,192439,137885,MO-7
MO,Missouri,8,567717,105465,124173,198629,139450,MO-8
MT,Montana,At-large,823668,162487,190761,270899,199521,MT-At-large
NE,Nebraska,1,473676,115814,111892,147670,98300,NE-1
NE,Nebraska,2,467041,98743,130827,152604,84867,NE-2
NE,Nebraska,3,439543,81629,95106,144924,117884,NE-3
NV,Nevada,1,418811,102489,97757,128524,90041,NV-1
NV,Nevada,2,531489,108295,122316,178178,122700,NV-2
NV,Nevada,3,607915,114455,165543,201412,126505,NV-3
NV,Nevada,4,516951,107683,129145,170032,110091,NV-4
NH,New Hampshire,1,540224,111039,117000,193985,118200,NH-1
NH,New Hampshire,2,529588,94001,110296,202379,122912,NH-2
NJ,New Jersey,1,542034,111555,128857,190108,111514,NJ-1
NJ,New Jersey,2,531339,93137,110952,192550,134700,NJ-2
NJ,New Jersey,3,570276,103401,121577,204055,141243,NJ-3
NJ,New Jersey,4,539643,92318,109571,192765,144989,NJ-4
NJ,New Jersey,5,527932,89385,108059,204536,125952,NJ-5
NJ,New Jersey,6,502463,116015,108102,179916,98430,NJ-6
NJ,New Jersey,7,527076,88778,105529,216418,116351,NJ-7
NJ,New Jersey,8,425604,104194,121068,128201,72141,NJ-8
NJ,New Jersey,9,481499,99676,111457,169027,101339,NJ-9
NJ,New Jersey,10,496051,113595,125958,165331,91167,NJ-10
NJ,New Jersey,11,548734,92894,122467,205816,127557,NJ-11
NJ,New Jersey,12,505683,96015,108763,190033,110872,NJ-12
