year,state,state_abbreviation,county,office,candidate,party,candidate_votes,total_votes,candidate_percent
2016,Arkansas,AR,Lincoln,President,Donald Trump,republican,2455.0,3826,0.641662310507057
2016,Arkansas,AR,Lincoln,President,Other,other,119.0,3826,0.031102979613173026
2016,Arkansas,AR,Little River,President,Hillary Clinton,democrat,1397.0,5227,0.2672661182322556
2016,Arkansas,AR,Little River,President,Donald Trump,republican,3605.0,5227,0.6896881576430075
2016,Arkansas,AR,Little River,President,Other,other,225.0,5227,0.043045724124736943
2016,Arkansas,AR,Logan,President,Hillary Clinton,democrat,1715.0,7921,0.21651306653200353
2016,Arkansas,AR,Logan,President,Donald Trump,republican,5746.0,7921,0.7254134578967302
2016,Arkansas,AR,Logan,President,Other,other,460.0,7921,0.058073475571266256
2016,Arkansas,AR,Lonoke,President,Hillary Clinton,democrat,5664.0,27100,0.20900369003690036
2016,Arkansas,AR,Lonoke,President,Donald Trump,republican,19958.0,27100,0.7364575645756457
2016,Arkansas,AR,Lonoke,President,Other,other,1478.0,27100,0.054538745387453874
2016,Arkansas,AR,Madison,President,Hillary Clinton,democrat,1588.0,6841,0.23212980558397894
2016,Arkansas,AR,Madison,President,Donald Trump,republican,4928.0,6841,0.7203625200994007
2016,Arkansas,AR,Madison,President,Other,other,325.0,6841,0.047507674316620375
2016,Arkansas,AR,Marion,President,Hillary Clinton,democrat,1434.0,7107,0.2017728999577881
2016,Arkansas,AR,Marion,President,Donald Trump,republican,5336.0,7107,0.7508090614886731
2016,Arkansas,AR,Marion,President,Other,other,337.0,7107,0.047418038553538766
2016,Arkansas,AR,Miller,President,Hillary Clinton,democrat,4273.0,16091,0.265552172021627
2016,Arkansas,AR,Miller,President,Donald Trump,republican,11294.0,16091,0.7018830402088124
2016,Arkansas,AR,Miller,President,Other,other,524.0,16091,0.03256478776956062
2016,Arkansas,AR,Mississippi,President,Hillary Clinton,democrat,5670.0,13204,0.42941532868827625
2016,Arkansas,AR,Mississippi,President,Donald Trump,republican,7061.0,13204,0.5347621932747653
2016,Arkansas,AR,Mississippi,President,Other,other,473.0,13204,0.0358224780369585
2016,Arkansas,AR,Monroe,President,Hillary Clinton,democrat,1312.0,2884,0.4549237170596394
2016,Arkansas,AR,Monroe,President,Donald Trump,republican,1489.0,2884,0.5162968099861304
2016,Arkansas,AR,Monroe,President,Other,other,83.0,2884,0.028779472954230237
2016,Arkansas,AR,Montgomery,President,Hillary Clinton,democrat,748.0,3559,0.2101713964596797
2016,Arkansas,AR,Montgomery,President,Donald Trump,republican,2643.0,3559,0.7426243326777184
2016,Arkansas,AR,Montgomery,President,Other,other,168.0,3559,0.04720427086260186
2016,Arkansas,AR,Nevada,President,Hillary Clinton,democrat,1157.0,3246,0.35643869377695625
2016,Arkansas,AR,Nevada,President,Donald Trump,republican,2000.0,3246,0.6161429451632778
2016,Arkansas,AR,Nevada,President,Other,other,89.0,3246,0.027418361059765865
2016,Arkansas,AR,Newton,President,Hillary Clinton,democrat,699.0,3753,0.18625099920063948
2016,Arkansas,AR,Newton,President,Donald Trump,republican,2875.0,3753,0.7660538236077804
2016,Arkansas,AR,Newton,President,Other,other,179.0,3753,0.04769517719158007
2016,Arkansas,AR,Ouachita,President,Hillary Clinton,democrat,4321.0,9935,0.43492702566683444
2016,Arkansas,AR,Ouachita,President,Donald Trump,republican,5351.0,9935,0.5386009058882738
2016,Arkansas,AR,Ouachita,President,Other,other,263.0,9935,0.0264720684448918
2016,Arkansas,AR,Perry,President,Hillary Clinton,democrat,1049.0,4306,0.24361356247097074
2016,Arkansas,AR,Perry,President,Donald Trump,republican,3008.0,4306,0.6985601486298189
2016,Arkansas,AR,Perry,President,Other,other,249.0,4306,0.057826288899210404
2016,Arkansas,AR,Phillips,President,Hillary Clinton,democrat,4310.0,6953,0.619876312383144
2016,Arkansas,AR,Phillips,President,Donald Trump,republican,2446.0,6953,0.35179059398820656
2016,Arkansas,AR,Phillips,President,Other,other,197.0,6953,0.028333093628649504
2016,Arkansas,AR,Pike,President,Hillary Clinton,democrat,685.0,3981,0.1720673197689023
2016,Arkansas,AR,Pike,President,Donald Trump,republican,3150.0,3981,0.7912584777694047
2016,Arkansas,AR,Pike,President,Other,other,146.0,3981,0.03667420246169304
2016,Arkansas,AR,Poinsett,President,Hillary Clinton,democrat,1880.0,7722,0.24346024346024345
2016,Arkansas,AR,Poinsett,President,Donald Trump,republican,5502.0,7722,0.7125097125097125
2016,Arkansas,AR,Poinsett,President,Other,other,340.0,7722,0.04403004403004403
2016,Arkansas,AR,Polk,President,Hillary Clinton,democrat,1212.0,8231,0.14724820799416838
2016,Arkansas,AR,Polk,President,Donald Trump,republican,6618.0,8231,0.8040335317701373
2016,Arkansas,AR,Polk,President,Other,other,401.0,8231,0.048718260235694325
2016,Arkansas,AR,Pope,President,Hillary Clinton,democrat,5000.0,22569,0.22154282422792326
2016,Arkansas,AR,Pope,President,Donald Trump,republican,16256.0,22569,0.7202800301298241
2016,Arkansas,AR,Pope,President,Other,other,1313.0,22569,0.058177145642252646
2016,Arkansas,AR,Prairie,President,Hillary Clinton,democrat,814.0,3444,0.23635307781649245
2016,Arkansas,AR,Prairie,President,Donald Trump,republican,2505.0,3444,0.7273519163763066
2016,Arkansas,AR,Prairie,President,Other,other,125.0,3444,0.03629500580720093
2016,Arkansas,AR,Pulaski,President,Hillary Clinton,democrat,89574.0,159776,0.5606223713198478
2016,Arkansas,AR,Pulaski,President,Donald Trump,republican,61257.0,159776,0.3833930002002804
2016,Arkansas,AR,Pulaski,President,Other,other,8945.0,159776,0.05598462847987182
2016,Arkansas,AR,Randolph,President,Hillary Clinton,democrat,1425.0,6379,0.22338924596331713
2016,Arkansas,AR,Randolph,President,Donald Trump,republican,4509.0,6379,0.7068506035428751
2016,Arkansas,AR,Randolph,President,Other,other,445.0,6379,0.06976015049380781
2016,Arkansas,AR,St. Francis,President,Hillary Clinton,democrat,4031.0,7430,0.5425302826379542
2016,Arkansas,AR,St. Francis,President,Donald Trump,republican,3195.0,7430,0.4300134589502019
2016,Arkansas,AR,St. Francis,President,Other,other,204.0,7430,0.027456258411843876
2016,Arkansas,AR,Saline,President,Hillary Clinton,democrat,13256.0,52100,0.2544337811900192
2016,Arkansas,AR,Saline,President,Donald Trump,republican,35863.0,52100,0.6883493282149712
2016,Arkansas,AR,Saline,President,Other,other,2981.0,52100,0.0572168905950096
2016,Arkansas,AR,Scott,President,Hillary Clinton,democrat,602.0,3510,0.17150997150997152
2016,Arkansas,AR,Scott,President,Donald Trump,republican,2731.0,3510,0.778062678062678
2016,Arkansas,AR,Scott,President,Other,other,177.0,3510,0.05042735042735043
2016,Arkansas,AR,Searcy,President,Hillary Clinton,democrat,601.0,3728,0.16121244635193133
2016,Arkansas,AR,Searcy,President,Donald Trump,republican,2955.0,3728,0.7926502145922747
2016,Arkansas,AR,Searcy,President,Other,other,172.0,3728,0.046137339055793994
2016,Arkansas,AR,Sebastian,President,Hillary Clinton,democrat,12300.0,44637,0.2755561529672693
2016,Arkansas,AR,Sebastian,President,Donald Trump,republican,29127.0,44637,0.6525304119900531
2016,Arkansas,AR,Sebastian,President,Other,other,3210.0,44637,0.0719134350426776
2016,Arkansas,AR,Sevier,President,Hillary Clinton,democrat,1075.0,4562,0.2356422621657168
2016,Arkansas,AR,Sevier,President,Donald Trump,republican,3282.0,4562,0.7194213064445418
2016,Arkansas,AR,Sevier,President,Other,other,205.0,4562,0.04493643138974134
2016,Arkansas,AR,Sharp,President,Hillary Clinton,democrat,1472.0,7249,0.20306249137812113
2016,Arkansas,AR,Sharp,President,Donald Trump,republican,5407.0,7249,0.7458959856531936
2016,Arkansas,AR,Sharp,President,Other,other,370.0,7249,0.05104152296868534
2016,Arkansas,AR,Stone,President,Hillary Clinton,democrat,1203.0,5618,0.21413314346742612
2016,Arkansas,AR,Stone,President,Donald Trump,republican,4113.0,5618,0.7321110715557138
2016,Arkansas,AR,Stone,President,Other,other,302.0,5618,0.053755784976860094
2016,Arkansas,AR,Union,President,Hillary Clinton,democrat,5855.0,16894,0.34657274772108443
2016,Arkansas,AR,Union,President,Donald Trump,republican,10456.0,16894,0.6189179590387119
2016,Arkansas,AR,Union,President,Other,other,583.0,16894,0.034509293240203624
2016,Arkansas,AR,Van Buren,President,Hillary Clinton,democrat,1549.0,7339,0.21106417768088295
2016,Arkansas,AR,Van Buren,President,Donald Trump,republican,5382.0,7339,0.7333424172230549
2016,Arkansas,AR,Van Buren,President,Other,other,408.0,7339,0.055593405096062136
2016,Arkansas,AR,Washington,President,Hillary Clinton,democrat,33366.0,81861,0.407593359475208
2016,Arkansas,AR,Washington,President,Donald Trump,republican,41476.0,81861,0.5066637348676415
2016,Arkansas,AR,Washington,President,Other,other,7019.0,81861,0.08574290565715054
2016,Arkansas,AR,White,President,Hillary Clinton,democrat,5170.0,27219,0.18994085014144532
2016,Arkansas,AR,White,President,Donald Trump,republican,21077.0,27219,0.7743488004702598
2016,Arkansas,AR,White,President,Other,other,972.0,27219,0.03571034938829494
2016,Arkansas,AR,Woodruff,President,Hillary Clinton,democrat,1118.0,2571,0.4348502528199144
2016,Arkansas,AR,Woodruff,President,Donald Trump,republican,1347.0,2571,0.5239206534422404
2016,Arkansas,AR,Woodruff,President,Other,other,106.0,2571,0.041229093737845196
2016,Arkansas,AR,Yell,President,Hillary Clinton,democrat,1480.0,6439,0.22984935548998292
2016,Arkansas,AR,Yell,President,Donald Trump,republican,4608.0,6439,0.7156390743904333
2016,Arkansas,AR,Yell,President,Other,other,351.0,6439,0.05451157011958379
2016,California,CA,Alameda,President,Hillary Clinton,democrat,514842.0,654266,0.7869001293052061
2016,California,CA,Alameda,President,Donald Trump,republican,95922.0,654266,0.14661009436528874
2016,California,CA,Alameda,President,Other,other,43502.0,654266,0.06648977632950512
2016,California,CA,Alpine,President,Hillary Clinton,democrat,334.0,602,0.5548172757475083
2016,California,CA,Alpine,President,Donald Trump,republican,217.0,602,0.36046511627906974
2016,California,CA,Alpine,President,Other,other,51.0,602,0.08471760797342193
2016,California,CA,Amador,President,Hillary Clinton,democrat,6004.0,17734,0.33855870080072176
2016,California,CA,Amador,President,Donald Trump,republican,10485.0,17734,0.5912371715349047
2016,California,CA,Amador,President,Other,other,1245.0,17734,0.07020412766437352
2016,California,CA,Butte,President,Hillary Clinton,democrat,41567.0,95564,0.4349650496002679
2016,California,CA,Butte,President,Donald Trump,republican,45144.0,95564,0.47239546272654975
2016,California,CA,Butte,President,Other,other,8853.0,95564,0.09263948767318236
2016,California,CA,Calaveras,President,Hillary Clinton,democrat,7944.0,23136,0.3433609958506224
2016,California,CA,Calaveras,President,Donald Trump,republican,13511.0,23136,0.583981673582296
2016,California,CA,Calaveras,President,Other,other,1681.0,23136,0.07265733056708161
2016,California,CA,Colusa,President,Hillary Clinton,democrat,2661.0,6632,0.4012364294330519
2016,California,CA,Colusa,President,Donald Trump,republican,3551.0,6632,0.5354342581423401
2016,California,CA,Colusa,President,Other,other,420.0,6632,0.06332931242460796
2016,California,CA,Contra Costa,President,Hillary Clinton,democrat,319287.0,466175,0.684908028101035
2016,California,CA,Contra Costa,President,Donald Trump,republican,115956.0,466175,0.24873920737920308
