Year,State,State Abbreviation,District Number,Special Election,Candidate,Party,Candidate Votes,Total Votes,Candidate Percent
2016,Louisiana,LA,statewide,False,Caroline Fayard,democrat,240917,1997218,0.12062629117101889
2016,Louisiana,LA,statewide,False,Peter Williams,democrat,6855,1997218,0.0034322742935423175
2016,Louisiana,LA,statewide,False,LeRoy Gillam,other,4067,1997218,0.0020363325385611385
2016,Louisiana,LA,statewide,False,"""Rob"" Maness",republican,90856,1997218,0.04549127836821018
2016,Louisiana,LA,statewide,False,Kaitlin Marone,other,4108,1997218,0.00205686109378145
2016,Louisiana,LA,statewide,False,Joshua Pellerin,democrat,7395,1997218,0.0037026503866878827
2016,Louisiana,LA,statewide,False,"William Robert Lang, Jr.",other,1424,1997218,0.0007129917715542319
2016,Louisiana,LA,statewide,False,Beryl Billiot,other,19352,1997218,0.009689478063987006
2016,Louisiana,LA,statewide,False,Arden Wells,other,1483,1997218,0.0007425328632127289
2016,Louisiana,LA,statewide,False,Troy Hebert,other,9503,1997218,0.004758118542893164
2016,Louisiana,LA,statewide,False,John Kennedy,republican,536191,1997218,0.26846894029595164
2016,Louisiana,LA,statewide,False,"Gregory Taylor, Jr.",other,1151,1997218,0.000576301635575085
2016,Louisiana,LA,statewide,False,Thomas P. Clements,other,11370,1997218,0.005692918850120517
2016,Louisiana,LA,statewide,False,Gary Landrieu,democrat,45587,1997218,0.022825249922642395
2016,Louisiana,LA,statewide,False,Foster Campbell,democrat,347816,1997218,0.1741502429879963
2016,Louisiana,LA,statewide,False,Abhay Patel,republican,1576,1997218,0.0007890976348100207
2016,Louisiana,LA,statewide,False,"""Joseph"" Cao",republican,21019,1997218,0.010524139077456742
2016,Louisiana,LA,statewide,False,David Duke,republican,58606,1997218,0.029343817249794464
2016,Louisiana,LA,statewide,False,"Donald ""Crawdaddy"" Crawford",republican,25523,1997218,0.012779275972878274
2016,Louisiana,LA,statewide,False,Charles Marsala,republican,3684,1997218,0.0018445657910153024
2016,Maryland,MD,statewide,False,Chris Van Hollen,democrat,1659907,2726170,0.6088787566439363
2016,Maryland,MD,statewide,False,Margaret Flowers,other,89970,2726170,0.0330023439477362
2016,Maryland,MD,statewide,False,,other,77,2726170,2.824475362871721e-05
2016,Maryland,MD,statewide,False,,other,7,2726170,2.5677048753379285e-06
2016,Maryland,MD,statewide,False,,other,242,2726170,8.876922569025409e-05
2016,Maryland,MD,statewide,False,,other,138,2726170,5.06204675423763e-05
2016,Maryland,MD,statewide,False,,other,15,2726170,5.502224732866989e-06
2016,Maryland,MD,statewide,False,,other,26,2726170,9.537189536969448e-06
2016,Maryland,MD,statewide,False,,other,3231,2726170,0.0011851792074595495
2016,Maryland,MD,statewide,False,Kathy Szeliga,republican,972557,2726170,0.35674847863486137
2016,Missouri,MO,statewide,False,,other,4,2802641,1.4272252493273309e-06
2016,Missouri,MO,statewide,False,,other,53,2802641,1.8910734553587136e-05
2016,Missouri,MO,statewide,False,,other,12,2802641,4.281675747981993e-06
2016,Missouri,MO,statewide,False,Roy Blunt,republican,1378458,2802641,0.4918425156843135
